idJugador,idPartido,puntos,asistencias,tapones,rebotes,robos,porcentajeTirosLibres,porcentajeTirosCampo,porcentajeTriples
203473,42100307,0,0,0,0,0,0.0,0.0,0.0
2617,42100307,0,0,0,0,0,0.0,0.0,0.0
1629312,42100307,0,0,0,0,0,0.0,0.0,0.0
1628997,42100307,0,0,0,0,0,0.0,0.0,0.0
202693,42100307,0,0,0,0,0,0.0,0.0,0.0
1629130,42100307,0,0,0,0,0,0.0,0.0,0.0
1630209,42100307,0,0,0,0,0,0.0,0.0,0.0
202710,42100306,47,8,1,9,4,1.0,0.552,0.5
200782,42100306,11,1,0,5,2,0.75,0.75,1.0
1628389,42100306,6,2,0,9,1,0.0,0.5,0.0
1629622,42100306,13,2,0,2,0,0.0,0.417,0.375
200768,42100306,18,10,1,4,1,1.0,0.357,0.444
1628997,42100306,5,0,0,3,0,0.0,0.5,1.0
1629216,42100306,2,2,0,0,1,1.0,0.0,0.0
1629130,42100306,0,0,0,0,0,0.0,0.0,0.0
203506,42100306,9,0,0,5,1,1.0,0.333,0.25
203473,42100306,0,0,0,0,0,0.0,0.0,0.0
2617,42100306,0,0,0,0,0,0.0,0.0,0.0
1629312,42100306,0,0,0,0,0,0.0,0.0,0.0
202693,42100306,0,0,0,0,0,0.0,0.0,0.0
1630209,42100306,0,0,0,0,0,0.0,0.0,0.0
1628369,42100306,30,4,1,9,2,1.0,0.75,0.571
201143,42100306,3,5,0,9,0,0.0,0.125,0.167
1629057,42100306,12,0,2,1,1,1.0,0.714,0.0
1627759,42100306,20,5,0,6,2,0.778,0.462,0.333
203935,42100306,14,3,0,4,1,1.0,0.267,0.111
1629684,42100306,2,0,0,2,1,1.0,0.0,0.0
1628401,42100306,22,5,1,3,3,0.8,0.5,0.571
1630202,42100306,0,0,0,0,0,0.0,0.0,0.0
1630174,42100306,0,0,0,0,0,0.0,0.0,0.0
1630238,42100306,0,0,0,0,0,0.0,0.0,0.0
1628436,42100306,0,0,0,0,0,0.0,0.0,0.0
1629752,42100306,0,0,0,0,0,0.0,0.0,0.0
203917,42100306,0,0,0,0,0,0.0,0.0,0.0
1628464,42100306,0,0,0,0,0,0.0,0.0,0.0
203493,42100315,6,2,0,4,0,0.0,0.5,0.5
1627827,42100315,13,2,1,4,2,0.0,0.6,0.25
203939,42100315,3,0,0,2,0,1.0,1.0,0.0
1628973,42100315,10,4,0,2,0,0.667,0.3,0.0
1629029,42100315,28,6,0,9,1,0.714,0.357,0.231
1628467,42100315,7,1,1,8,1,0.0,0.5,0.5
1628373,42100315,6,1,0,3,1,0.0,0.4,0.4
203915,42100315,26,4,2,0,0,0.778,0.583,0.714
202722,42100315,3,0,0,1,0,0.0,0.5,0.5
203504,42100315,6,0,0,0,0,0.0,0.667,0.667
1630182,42100315,0,0,0,0,0,0.0,0.0,0.0
1627737,42100315,0,0,0,0,0,0.0,0.0,0.0
1628425,42100315,2,2,0,1,1,1.0,0.0,0.0
1626246,42100315,0,0,0,0,0,0.0,0.0,0.0
203952,42100315,18,2,0,10,1,1.0,0.438,0.0
203110,42100315,17,9,1,6,0,1.0,0.857,1.0
1626172,42100315,10,4,0,18,0,0.0,0.625,0.0
202691,42100315,32,3,0,2,1,0.0,0.48,0.5
201939,42100315,15,9,1,3,3,1.0,0.294,0.286
1629673,42100315,16,6,0,6,1,1.0,0.75,0.333
202357,42100315,5,3,0,6,0,0.0,0.5,1.0
1629308,42100315,0,0,0,0,0,0.0,0.0,0.0
1630541,42100315,7,0,1,0,0,1.0,0.667,1.0
1630228,42100315,0,0,0,0,0,0.0,0.0,0.0
1627814,42100315,0,0,0,0,0,0.0,0.0,0.0
203490,42100315,0,0,0,0,0,0.0,0.0,0.0
1628369,42100305,22,9,0,12,0,0.75,0.35,0.25
201143,42100305,16,5,2,7,1,0.714,0.625,0.333
1629057,42100305,6,0,3,10,1,1.0,1.0,0.0
1627759,42100305,25,1,1,4,1,0.0,0.526,0.556
203935,42100305,5,4,0,5,0,1.0,0.2,0.333
1628401,42100305,14,5,1,1,2,0.667,0.75,0.0
1629684,42100305,5,0,0,6,0,0.0,0.4,0.25
1630202,42100305,0,0,0,1,0,0.0,0.0,0.0
1629752,42100305,0,0,0,0,0,0.0,0.0,0.0
203917,42100305,0,0,0,0,0,0.0,0.0,0.0
1630174,42100305,0,0,0,0,0,0.0,0.0,0.0
1628436,42100305,0,0,0,0,0,0.0,0.0,0.0
1630238,42100305,0,0,0,0,0,0.0,0.0,0.0
1628464,42100305,0,0,0,0,0,0.0,0.0,0.0
202710,42100305,13,4,1,6,2,1.0,0.222,0.2
200782,42100305,7,2,0,11,1,0.0,0.429,0.2
1628389,42100305,18,1,1,10,0,1.0,0.533,0.0
1629622,42100305,4,3,0,2,0,1.0,0.0,0.0
200768,42100305,0,0,0,1,0,0.0,0.0,0.0
1629216,42100305,15,2,0,2,1,1.0,0.5,0.143
203506,42100305,3,0,0,5,2,0.5,0.143,0.0
1629130,42100305,11,1,0,4,1,0.0,0.333,0.3
1628997,42100305,7,1,0,6,0,0.0,0.429,0.333
1630209,42100305,2,0,0,0,0,0.0,1.0,0.0
1629312,42100305,0,0,0,2,0,0.0,0.0,0.0
203473,42100305,0,0,0,0,0,0.0,0.0,0.0
2617,42100305,0,0,0,0,0,0.0,0.0,0.0
202693,42100305,0,0,0,0,0,0.0,0.0,0.0
203952,42100314,13,1,0,5,0,1.0,0.455,0.333
203110,42100314,10,6,2,6,0,0.4,0.5,0.0
1626172,42100314,3,1,1,6,0,0.333,0.333,0.0
